"Date/Time (PST)","mph (5020') Mt. Baker - Pan Dome"
"4/22/23 6 am",12
"4/22/23 5 am",9.88
"4/22/23 4 am",9.18
"4/22/23 3 am",7.766
"4/22/23 2 am",7.766
"4/22/23 1 am",7.766
"4/22/23 12 am",7.766
"4/21/23 11 pm",8.47
"4/21/23 10 pm",7.766
"4/21/23 9 pm",5.648
"4/21/23 8 pm",6.354
"4/21/23 7 pm",3.53
"4/21/23 6 pm",10.59
"4/21/23 5 pm",9.88
"4/21/23 4 pm",15.53
"4/21/23 3 pm",15.53
"4/21/23 2 pm",11.3
"4/21/23 1 pm",12.71
"4/21/23 12 pm",12
"4/21/23 11 am",9.88
"4/21/23 10 am",9.88
"4/21/23 9 am",6.354
"4/21/23 8 am",5.648
"4/21/23 7 am",9.18
"4/21/23 6 am",9.18
"4/21/23 5 am",9.18
"4/21/23 4 am",10.59
"4/21/23 3 am",10.59
"4/21/23 2 am",7.766
"4/21/23 1 am",11.3
"4/21/23 12 am",18.36
"4/20/23 11 pm",26.83
"4/20/23 10 pm",33.18
"4/20/23 9 pm",26.12
"4/20/23 8 pm",31.06
"4/20/23 7 pm",33.18
"4/20/23 6 pm",36.71
"4/20/23 5 pm",37.42
"4/20/23 4 pm",31.06
"4/20/23 3 pm",29.65
"4/20/23 2 pm",41.65
"4/20/23 1 pm",42.36
"4/20/23 12 pm",33.18
"4/20/23 11 am",29.65
"4/20/23 10 am",20.47
"4/20/23 9 am",20.47
"4/20/23 8 am",13.41
"4/20/23 7 am",16.94
"4/20/23 6 am",20.47
"4/20/23 5 am",19.77
"4/20/23 4 am",19.06
"4/20/23 3 am",18.36
"4/20/23 2 am",13.41
"4/20/23 1 am",16.94
"4/20/23 12 am",16.24
"4/19/23 11 pm",16.24
"4/19/23 10 pm",15.53
"4/19/23 9 pm",14.12
"4/19/23 8 pm",9.88
"4/19/23 7 pm",14.83
"4/19/23 6 pm",18.36
"4/19/23 5 pm",12.71
"4/19/23 4 pm",16.24
"4/19/23 3 pm",22.59
"4/19/23 2 pm",24
"4/19/23 1 pm",23.3
"4/19/23 12 pm",21.18
"4/19/23 11 am",18.36
"4/19/23 10 am",16.24
"4/19/23 9 am",16.94
"4/19/23 8 am",16.94
"4/19/23 7 am",18.36
"4/19/23 6 am",15.53
"4/19/23 5 am",12
"4/19/23 4 am",9.88
"4/19/23 3 am",8.47
"4/19/23 2 am",17.65
"4/19/23 1 am",17.65
"4/19/23 12 am",16.94
"4/18/23 11 pm",26.83
"4/18/23 10 pm",18.36
"4/18/23 9 pm",22.59
"4/18/23 8 pm",26.12
"4/18/23 7 pm",34.59
"4/18/23 6 pm",38.83
"4/18/23 5 pm",33.89
"4/18/23 4 pm",40.24
"4/18/23 3 pm",26.12
"4/18/23 2 pm",30.36
"4/18/23 1 pm",34.59
"4/18/23 12 pm",29.65
"4/18/23 11 am",34.59
"4/18/23 10 am",35.3
"4/18/23 9 am",43.77
"4/18/23 8 am",45.18
"4/18/23 7 am",38.12
"4/18/23 6 am",47.3
"4/18/23 5 am",35.3
"4/18/23 4 am",35.3
"4/18/23 3 am",40.24
"4/18/23 2 am",41.65
"4/18/23 1 am",45.18
