"Date/Time (PST)","Battery Voltage  (v) ","Relative Humidity  (%) ","Total Snow Depth  ("") ","Temperature  (deg F) ","Soil Moisture A  (VWC) ","Soil Moisture B  (VWC) ","Soil Temperature A  (deg F) ","Soil Temperature B  (deg F) "
"2022-12-31 23:00:00",12.47,84.5,280,20.71,0.166,0.159,0.399,0.789
"2022-12-31 22:00:00",12.5,81.4,280.1,21.19,0.166,0.159,0.402,0.786
"2022-12-31 21:00:00",12.53,79.13,280.2,21.67,0.166,0.159,0.404,0.789
"2022-12-31 20:00:00",12.56,82.6,280,21.57,0.166,0.159,0.404,0.788
"2022-12-31 19:00:00",12.6,79.38,279.8,21.28,0.166,0.159,0.405,0.786
"2022-12-31 18:00:00",12.63,76.6,279.8,21.05,0.166,0.16,0.404,0.786
"2022-12-31 17:00:00",12.63,83.8,280.1,20.54,0.167,0.16,0.403,0.791
"2022-12-31 16:00:00",12.67,84,280.2,21.13,0.167,0.16,0.397,0.786
"2022-12-31 15:00:00",12.75,72.5,280,22.98,0.167,0.16,0.403,0.785
"2022-12-31 14:00:00",12.83,74.35,280.2,23.86,0.167,0.16,0.391,0.779
"2022-12-31 13:00:00",13.55,83.1,280.1,24.79,0.167,0.16,0.395,0.781
"2022-12-31 12:00:00",13.4,81.1,280.2,24.93,0.167,0.16,0.397,0.78
"2022-12-31 11:00:00",12.65,80.8,280,23.73,0.167,0.16,0.401,0.787
"2022-12-31 10:00:00",12.16,75.74,280,21.95,0.167,0.16,0.395,0.779
"2022-12-31 09:00:00",12,87.6,280,22.51,0.167,0.16,0.401,0.787
"2022-12-31 08:00:00",11.98,88.9,280.2,21.02,0.167,0.16,0.399,0.788
"2022-12-31 07:00:00",12,80.5,280.2,21.44,0.167,0.161,0.398,0.789
"2022-12-31 06:00:00",12.02,76.96,280.2,21.48,0.167,0.161,0.398,0.79
"2022-12-31 05:00:00",12.04,89.4,280.2,21.31,0.167,0.161,0.399,0.79
"2022-12-31 04:00:00",12.06,87.7,280.2,22.26,0.167,0.161,0.399,0.792
"2022-12-31 03:00:00",12.09,86.2,280.2,21.92,0.167,0.161,0.395,0.79
"2022-12-31 02:00:00",12.12,91.3,280.1,21.87,0.167,0.161,0.399,0.791
"2022-12-31 01:00:00",12.14,93.4,279.8,21.16,0.167,0.161,0.397,0.787
"2022-12-31 00:00:00",12.17,90.9,279.8,22,0.167,0.161,0.396,0.79
"2022-12-30 23:00:00",12.2,94.1,280,21.6,0.167,0.162,0.386,0.78
