Date,Max Windspeed 24hr,Was High Winds 24hr
2022-09-03,6.751,0
2022-09-04,5.546,0
2022-09-05,11.92,0
2022-09-06,8.88,0
2022-09-07,6.905,0
2022-09-08,9.05,0
2022-09-09,6.883,0
2022-09-10,5.918,0
2022-09-11,5.743,0
2022-09-12,5.918,0
2022-09-13,5.348,0
2022-09-14,7.825,0
2022-09-15,6.16,0
2022-09-16,4.603,0
2022-09-17,6.992,0
2022-09-18,5.107,0
2022-09-19,5.633,0
2022-09-20,7.453,0
2022-09-21,5.085,0
2022-09-22,4.866,0
2022-09-23,10.98,0
2022-09-24,6.532,0
2022-09-25,5.787,0
2022-09-26,6.664,0
2022-09-27,4.537,0
2022-09-28,5.327,0
2022-09-29,4.757,0
2022-09-30,8.02,0
2022-10-01,6.62,0
2022-10-02,6.423,0
2022-10-03,4.91,0
2022-10-04,6.576,0
2022-10-05,5.458,0
2022-10-06,5.283,0
2022-10-07,6.138,0
2022-10-08,4.757,0
2022-10-09,5.129,0
2022-10-10,5.743,0
2022-10-11,12.06,0
2022-10-12,5.458,0
2022-10-13,5.918,0
2022-10-14,5.436,0
2022-10-15,4.231,0
2022-10-16,5.37,0
2022-10-17,4.494,0
2022-10-18,3.704,0
2022-10-19,3.968,0
2022-10-20,4.077,0
2022-10-21,6.094,0
2022-10-22,8.5,0
2022-10-23,6.642,0
2022-10-24,5.414,0
2022-10-25,8.22,0
2022-10-26,6.927,0
2022-10-27,10.7,0
2022-10-28,6.05,0
2022-10-29,5.151,0
2022-10-30,3.222,0
2022-10-31,9.14,0
2022-11-01,5.655,0
2022-11-02,5.48,0
2022-11-03,4.779,0
2022-11-04,4.318,0
2022-11-05,5.699,0
2022-11-06,7.519,0
2022-11-07,4.231,0
2022-11-08,0.592,0
2022-11-09,0.0,0
2022-11-10,2.872,0
2022-11-11,2.915,0
2022-11-12,1.337,0
2022-11-13,2.806,0
2022-11-14,3.222,0
2022-11-15,2.696,0
2022-11-16,2.587,0
2022-11-17,3.135,0
2022-11-18,2.17,0
2022-11-19,2.455,0
2022-11-20,1.03,0
2022-11-21,0.0,0
2022-11-22,3.507,0
2022-11-23,1.184,0
2022-11-24,2.06,0
2022-11-25,0.0,0
2022-11-26,5.085,0
2022-11-27,5.546,0
2022-11-28,4.077,0
2022-11-29,6.379,0
2022-11-30,4.603,0
2022-12-01,1.951,0
2022-12-02,6.138,0
2022-12-03,1.425,0
2022-12-04,0.0,0
2022-12-05,1.754,0
2022-12-06,0.0,0
2022-12-07,2.587,0
2022-12-08,0.0,0
2022-12-09,2.214,0
2022-12-10,2.85,0
2022-12-11,0.0,0
2022-12-12,2.433,0
2022-12-13,7.431,0
2022-12-14,2.324,0
2022-12-15,7.124,0
2022-12-16,5.655,0
2022-12-17,2.806,0
2022-12-18,3.398,0
2022-12-19,5.699,0
2022-12-20,5.261,0
2022-12-21,1.403,0
2022-12-22,9.71,0
2022-12-23,2.543,0
2022-12-24,1.973,0
2022-12-25,4.187,0
2022-12-26,3.836,0
2022-12-27,0.0,0
2022-12-28,2.411,0
2022-12-29,5.085,0
2022-12-30,2.915,0
2022-12-31,2.718,0
2023-01-01,0.0,0
2023-01-02,0.0,0
2023-01-03,0.0,0
2023-01-04,0.0,0
2023-01-05,0.0,0
2023-01-06,0.0,0
2023-01-07,1.008,0
2023-01-08,3.025,0
2023-01-09,5.305,0
2023-01-10,3.135,0
2023-01-11,2.345,0
2023-01-12,3.748,0
2023-01-13,2.17,0
2023-01-14,1.14,0
2023-01-15,0.526,0
2023-01-16,2.872,0
2023-01-17,3.025,0
2023-01-18,1.6,0
2023-01-19,0.0,0
2023-01-20,6.291,0
2023-01-21,3.463,0
2023-01-22,0.745,0
2023-01-23,5.085,0
2023-01-24,4.252,0
2023-01-25,4.209,0
2023-01-26,4.888,0
2023-01-27,9.38,0
2023-01-28,8.24,0
2023-01-29,6.554,0
2023-01-30,7.146,0
2023-01-31,4.121,0
2023-02-01,4.472,0
2023-02-02,4.231,0
2023-02-03,2.455,0
2023-02-04,3.814,0
2023-02-05,4.143,0
2023-02-06,2.499,0
2023-02-07,6.532,0
2023-02-08,3.726,0
2023-02-09,4.516,0
2023-02-10,3.792,0
2023-02-11,3.266,0
2023-02-12,3.441,0
2023-02-13,4.691,0
2023-02-14,10.96,0
2023-02-15,6.181,0
2023-02-16,5.502,0
2023-02-17,4.537,0
2023-02-18,5.809,0
2023-02-19,12.49,0
2023-02-20,8.22,0
2023-02-21,15.65,0
2023-02-22,8.92,0
2023-02-23,7.606,0
2023-02-24,5.217,0
2023-02-25,6.006,0
2023-02-26,5.414,0
2023-02-27,3.332,0
2023-02-28,5.107,0
2023-03-01,5.48,0
2023-03-02,7.212,0
2023-03-03,4.625,0
2023-03-04,6.773,0
2023-03-05,2.674,0
2023-03-06,5.173,0
2023-03-07,6.861,0
2023-03-08,5.962,0
2023-03-09,2.915,0
2023-03-10,6.291,0
2023-03-11,4.954,0
2023-03-12,5.48,0
2023-03-13,6.642,0
2023-03-14,5.546,0
2023-03-15,5.261,0
2023-03-16,8.22,0
2023-03-17,5.217,0
2023-03-18,5.348,0
2023-03-19,5.524,0
2023-03-20,4.822,0
2023-03-21,6.16,0
2023-03-22,6.225,0
2023-03-23,4.691,0
2023-03-24,7.146,0
2023-03-25,9.56,0
2023-03-26,7.475,0
2023-03-27,7.453,0
2023-03-28,6.247,0
2023-03-29,9.21,0
2023-03-30,4.209,0
2023-03-31,6.883,0
2023-04-01,4.187,0
2023-04-02,7.277,0
2023-04-03,5.217,0
2023-04-04,7.672,0
2023-04-05,6.401,0
2023-04-06,5.151,0
2023-04-07,7.321,0
2023-04-08,5.02,0
2023-04-09,4.669,0
2023-04-10,3.617,0
2023-04-11,4.669,0
2023-04-12,9.14,0
2023-04-13,7.76,0
2023-04-14,7.54,0
2023-04-15,4.647,0
2023-04-16,7.146,0
2023-04-17,6.664,0
2023-04-18,11.55,0
2023-04-19,7.299,0
2023-04-20,10.32,0
2023-04-21,8.46,0
2023-04-22,8.59,0
2023-04-23,7.365,0
2023-04-24,4.516,0
2023-04-25,6.751,0
2023-04-26,7.584,0
2023-04-27,8.18,0
2023-04-28,6.62,0
2023-04-29,5.787,0
2023-04-30,6.138,0
2023-05-01,8.7,0
2023-05-02,7.343,0
2023-05-03,6.905,0
2023-05-04,6.401,0
2023-05-05,6.817,0
2023-05-06,7.409,0
2023-05-07,5.48,0
2023-05-08,9.23,0
2023-05-09,6.708,0
2023-05-10,6.357,0
2023-05-11,6.006,0
2023-05-12,5.633,0
2023-05-13,7.124,0
2023-05-14,6.992,0
2023-05-15,7.124,0
2023-05-16,6.598,0
2023-05-17,7.036,0
2023-05-18,6.795,0
2023-05-19,10.11,0
2023-05-20,7.343,0
2023-05-21,6.927,0
2023-05-22,6.992,0
2023-05-23,8.57,0
2023-05-24,7.935,0
2023-05-25,6.138,0
