Date,Max Windspeed 24hr,Was High Winds 24hr
2022-01-01,13.580000000000002,0
2022-01-02,37.336666666666666,1
2022-01-03,59.873333333333335,1
2022-01-04,49.093333333333334,1
2022-01-05,37.336666666666666,1
2022-01-06,46.53,1
2022-01-07,65.33666666666666,1
2022-01-08,65.68666666666667,1
2022-01-09,53.60666666666666,1
2022-01-10,54.050000000000004,1
2022-01-11,42.086666666666666,1
2022-01-12,54.946666666666665,1
2022-01-13,48.01333333333334,1
2022-01-14,48.26666666666667,1
2022-01-15,22.257,0
2022-01-16,23.372666666666664,0
2022-01-17,16.251,0
2022-01-18,31.346666666666664,1
2022-01-19,32.13999999999999,1
2022-01-20,22.689999999999998,0
2022-01-21,74.85666666666667,1
2022-01-22,32.046666666666674,1
2022-01-23,27.213333333333335,1
2022-01-24,19.361,0
2022-01-25,26.24,1
2022-01-26,21.74,0
2022-01-27,16.256666666666664,0
2022-01-28,31.069999999999997,1
2022-01-29,28.596333333333334,1
2022-01-30,33.303333333333335,1
2022-01-31,57.056666666666665,1
2022-02-01,56.50333333333333,1
2022-02-02,37.836666666666666,1
2022-02-03,35.684,1
2022-02-04,29.59566666666667,1
2022-02-05,47.553333333333335,1
2022-02-06,42.61333333333334,1
2022-02-07,25.011,1
2022-02-08,39.60333333333333,1
2022-02-09,32.635999999999996,1
2022-02-10,35.23666666666667,1
2022-02-11,31.358666666666664,1
2022-02-12,39.656666666666666,1
2022-02-13,38.02333333333333,1
2022-02-14,29.679999999999996,1
2022-02-15,40.85333333333333,1
2022-02-16,35.35333333333333,1
2022-02-17,37.34,1
2022-02-18,38.86333333333334,1
2022-02-19,36.589999999999996,1
2022-02-20,53.426666666666655,1
2022-02-21,44.31666666666666,1
2022-02-22,31.106666666666666,1
2022-02-23,31.643333333333334,1
2022-02-24,29.877333333333336,1
2022-02-25,33.34,1
2022-02-26,14.976666666666667,0
2022-02-27,58.77,1
2022-02-28,71.25333333333333,1
2022-03-01,79.75666666666666,1
2022-03-02,41.29333333333333,1
2022-03-03,35.89666666666667,1
2022-03-04,30.313333333333333,1
2022-03-05,22.723333333333333,0
2022-03-06,24.7,0
2022-03-07,27.743333333333336,1
2022-03-08,37.51,1
2022-03-09,34.77,1
2022-03-10,20.060000000000002,0
2022-03-11,35.39666666666667,1
2022-03-12,34.02,1
2022-03-13,49.61000000000001,1
2022-03-14,42.86333333333334,1
2022-03-15,42.43,1
2022-03-16,49.23666666666667,1
2022-03-17,31.076666666666668,1
2022-03-18,35.937000000000005,1
2022-03-19,37.419999999999995,1
2022-03-20,54.89000000000001,1
2022-03-21,34.56333333333333,1
2022-03-22,26.463333333333328,1
2022-03-23,30.01,1
2022-03-24,38.24,1
2022-03-25,39.78666666666667,1
2022-03-26,29.73333333333333,1
2022-03-27,26.27,1
2022-03-28,38.02666666666667,1
2022-03-29,24.316666666666663,0
2022-03-30,26.73,1
2022-03-31,41.45666666666667,1
2022-04-01,32.69,1
2022-04-02,30.396666666666665,1
2022-04-03,44.416666666666664,1
2022-04-04,50.18333333333334,1
2022-04-05,78.15666666666667,1
2022-04-06,54.26,1
2022-04-07,28.03,1
2022-04-08,43.0,1
2022-04-09,59.24333333333334,1
2022-04-10,53.69333333333333,1
2022-04-11,45.77,1
2022-04-12,54.79666666666666,1
2022-04-13,27.476666666666663,1
2022-04-14,36.78333333333333,1
2022-04-15,18.19666666666667,0
2022-04-16,23.55633333333334,0
2022-04-17,41.973333333333336,1
2022-04-18,52.74,1
2022-04-19,62.1,1
2022-04-20,31.55333333333333,1
2022-04-21,59.19,1
2022-04-22,42.27333333333333,1
2022-04-23,28.400000000000002,1
2022-04-24,25.929999999999996,1
2022-04-25,38.163333333333334,1
2022-04-26,38.01666666666666,1
2022-04-27,33.906666666666666,1
2022-04-28,17.176666666666666,0
2022-04-29,25.963333333333335,1
2022-04-30,32.47666666666667,1
2022-05-01,36.78333333333333,1
2022-05-02,29.05,1
2022-05-03,33.07,1
2022-05-04,32.71,1
2022-05-05,31.419999999999998,1
2022-05-06,51.26,1
2022-05-07,50.666666666666664,1
2022-05-08,42.03333333333333,1
2022-05-09,30.456666666666667,1
2022-05-10,33.550000000000004,1
2022-05-11,26.23,1
2022-05-12,35.339999999999996,1
2022-05-13,52.586666666666666,1
2022-05-14,35.63999999999999,1
2022-05-15,34.07666666666667,1
2022-05-16,48.24,1
2022-05-17,27.866666666666664,1
2022-05-18,32.11,1
2022-05-19,74.77666666666666,1
2022-05-20,48.98,1
2022-05-21,24.826666666666668,0
2022-05-22,22.12,0
2022-05-23,19.0,0
2022-05-24,32.18333333333333,1
2022-05-25,28.816666666666666,1
2022-05-26,27.650000000000002,1
2022-05-27,34.25666666666667,1
2022-05-28,48.876666666666665,1
2022-05-29,26.069999999999997,1
2022-05-30,39.21,1
2022-05-31,29.616666666666664,1
2022-06-01,28.44333333333333,1
2022-06-02,30.673333333333336,1
2022-06-03,33.14666666666667,1
2022-06-04,38.410000000000004,1
2022-06-05,33.419999999999995,1
2022-06-06,34.56666666666667,1
2022-06-07,27.67,1
2022-06-08,41.31333333333333,1
2022-06-09,34.11000000000001,1
2022-06-10,60.82666666666666,1
2022-06-11,41.13,1
2022-06-12,35.0,1
2022-06-13,43.556666666666665,1
2022-06-14,45.279999999999994,1
2022-06-15,45.25333333333333,1
2022-06-16,31.64,1
2022-06-17,28.49333333333333,1
2022-06-18,23.683333333333334,0
2022-06-19,29.046666666666667,1
2022-06-20,26.796666666666667,1
2022-06-21,27.81,1
2022-06-22,28.47666666666667,1
